annee,matiere,territoire,quantite_generee_donnees_agglo,quantite_collectee_donnees_agglo,taux_recuperation_donnees_agglo,ratio_recuperation_donnees_agglo,quantite_generee_donnees_CMM,quantite_collectee_donnees_CMM,taux_recuperation_donnees_CMM,ratio_recuperation_donnees_CMM
2012,Ordures ménagères éliminées,Westmount,NA,5104,NA,243,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Agglomération de Montréal,NA,53939,NA,28,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Ville de Montréal,NA,50850,NA,30,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Ahuntsic-Cartierville,NA,3863,NA,29,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Anjou,NA,43,NA,1,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Baie-d'Urfé,NA,76,NA,20,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Beaconsfield,NA,400,NA,20,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Côte-des-Neiges–Notre-Dame-de-Grâce,NA,5382,NA,32,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Côte-Saint-Luc,NA,394,NA,12,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Dollard-Des Ormeaux,NA,39,NA,1,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Dorval,NA,756,NA,40,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Hampstead,NA,92,NA,12,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",L'Île-Bizard–Sainte-Geneviève,NA,316,NA,17,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Kirkland,NA,462,NA,22,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Lachine,NA,4,NA,0,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",LaSalle,NA,2003,NA,26,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Mercier–Hochelaga-Maisonneuve,NA,2153,NA,16,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Montréal-Est,NA,170,NA,43,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Montréal-Nord,NA,0,NA,0,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Montréal-Ouest,NA,0,NA,0,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Mont-Royal,NA,130,NA,6,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Outremont,NA,1045,NA,42,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Pierrefonds-Roxboro,NA,0,NA,0,NA,NA,NA,NA
2012,"Résidus de construction, rénovation, démolition et encombrants éliminés",Plateau-Mont-Royal (Le),NA,210,NA,2,NA,NA,NA,NA
