OBJECTID,BIOMASS_GRID_ID,MNCPL_SOLID_WASTE_TOTAL_VOL,MNCPL_SOLID_WASTE_ORGANIC_VOL,MNCPL_SOLID_WASTE_PAPER_VOL
299,41452,28187.86382,11275.14553,7328.844594
300,41453,5017.53516,2007.014064,1304.559142
301,41035,63927.43962,25570.97585,16621.1343
302,48011,772.4768572,308.9907429,200.8439829
303,47620,504.6330362,201.8532145,131.2045894
304,47215,1002.390973,400.9563893,260.6216531
305,46818,1755.299417,702.1197667,456.3778484
306,46819,1833.156204,733.2624818,476.6206132
307,46820,827.58972,331.035888,215.1733272
308,46822,343.3098454,137.3239382,89.26055981
309,46408,981.0664892,392.4265957,255.0772872
310,46414,200.1746057,80.06984228,52.04539748
311,46011,1775.85126,710.3405039,461.7213275
312,46833,3793.369481,1517.347792,986.276065
313,46428,2295.039051,918.0156205,596.7101533
314,46012,977.5269274,391.010771,254.1570011
315,46024,18.1227973,7.249118921,4.711927299
316,45608,63.28792391,25.31516956,16.45486022
317,45611,378.5482803,151.4193121,98.42255289
318,45612,3454.046085,1381.618434,898.0519821
319,45621,1607.822564,643.1290255,418.0338666
320,45209,84.39511372,33.75804549,21.94272957
321,41894,5094.434441,2037.773776,1324.552955
322,41905,102.5586116,41.02344464,26.66523901
323,41906,227.4714684,90.98858736,59.14258178
324,41918,971.8570603,388.7428241,252.6828357
325,40646,1072.086914,428.8347656,278.7425976
326,40647,3426.553073,1370.621229,890.9037991
327,40649,418.7800503,167.5120201,108.8828131
328,40235,6487.379273,2594.951709,1686.718611
329,39827,949.0814842,379.6325937,246.7611859
330,39419,784.7126867,313.8850747,204.0252986
331,39420,88.18864203,35.27545681,22.92904693
332,39008,245.9747761,98.38991044,63.95344179
333,39009,322.166054,128.8664216,83.76317405
334,38599,3381.924038,1352.769615,879.3002499
335,38192,402.8360834,161.1344334,104.7373817
336,38193,317.51267,127.005068,82.55329419
337,38194,169.9337293,67.9734917,44.18276961
338,38195,269.3607506,107.7443002,70.03379515
339,38200,2105.959479,842.3837917,547.5494646
340,38201,387.9429177,155.1771671,100.8651586
341,37798,7.674316937,3.069726775,1.995322404
342,37807,416.9812757,166.7925103,108.4151317
343,37808,728.9090029,291.5636011,189.5163407
344,49216,577.0913402,230.8365361,150.0437484
345,49218,441.425446,176.5701784,114.770616
346,48826,486.0110905,194.4044362,126.3628835
347,48430,509.0278661,203.6111465,132.3472452
348,48030,1146.268826,458.5075304,298.0298948
349,48038,23144.83592,9257.934367,6017.657339
350,48039,2323.876742,929.5506966,604.2079528
351,48040,2562.721251,1025.0885,666.3075252
352,48043,2505.857572,1002.343029,651.5229687
353,47643,209.6683995,83.86735982,54.51378388
354,47647,4014.566026,1605.82641,1043.787167
355,47648,1083.036943,433.2147773,281.5896052
356,47652,225.370394,90.14815762,58.59630245
357,47234,1779.955781,711.9823125,462.7885031
358,47238,195.2047456,78.08189823,50.75323385
359,47239,625.5374103,250.2149641,162.6397267
360,47246,672.9334828,269.1733931,174.9627055
361,47251,550.7483436,220.2993374,143.1945693
362,46842,197.719878,79.08795119,51.40716827
